"","IUCN_Species","Avonet_Species","Aquaculture","Climate_Change","Conflict","Crops","Dams_Water","Fire","Fishing","Geo_Event","Hunting","Inv_Disease","Livestock","Logging","Other_Develop","Plantations","Pollution","Rec_Work","category","Mass","Trophic_Niche","Genus","Genus_Avg_Mass","Genus_Trophic_data","Genus_Trophic","Body_Mass","Functional_Group"
"8870","Herpsilochmus dugandi","Herpsilochmus dugandi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",10.3,"Invertivore","Herpsilochmus",10.5222222222222,18,"Invertivore",10.3,"Invertivore"
"8871","Cercomacroides laeta","Cercomacroides laeta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",16,"Invertivore","Cercomacroides",16.5833333333333,6,"Invertivore",16,"Invertivore"
"8872","Scytalopus atratus","Scytalopus atratus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",25.7,"Invertivore","Scytalopus",19.1227272727273,44,"Invertivore",25.7,"Invertivore"
"8873","Scytalopus bolivianus","Scytalopus bolivianus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",20.8,"Invertivore","Scytalopus",19.1227272727273,44,"Invertivore",20.8,"Invertivore"
"8874","Scytalopus sanctaemartae","Scytalopus sanctaemartae",0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,"NT",23.2,"Invertivore","Scytalopus",19.1227272727273,44,"Invertivore",23.2,"Invertivore"
"8875","Scytalopus caracae","Scytalopus caracae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",24,"Invertivore","Scytalopus",19.1227272727273,44,"Invertivore",24,"Invertivore"
"8876","Scytalopus spillmanni","Scytalopus spillmanni",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",23.5,"Invertivore","Scytalopus",19.1227272727273,44,"Invertivore",23.5,"Invertivore"
"8877","Scytalopus acutirostris","Scytalopus acutirostris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",18.1,"Invertivore","Scytalopus",19.1227272727273,44,"Invertivore",18.1,"Invertivore"
"8878","Scytalopus fuscus","Scytalopus fuscus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",13.7,"Invertivore","Scytalopus",19.1227272727273,44,"Invertivore",13.7,"Invertivore"
"8879","Scytalopus griseicollis","Scytalopus griseicollis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",18.1,"Invertivore","Scytalopus",19.1227272727273,44,"Invertivore",18.1,"Invertivore"
"8880","Scytalopus simonsi","Scytalopus simonsi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",16.6,"Invertivore","Scytalopus",19.1227272727273,44,"Invertivore",16.6,"Invertivore"
"8881","Scytalopus parvirostris","Scytalopus parvirostris",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"LC",17.8,"Invertivore","Scytalopus",19.1227272727273,44,"Invertivore",17.8,"Invertivore"
"8882","Rhynchocyclus pacificus","Rhynchocyclus pacificus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",25,"Invertivore","Rhynchocyclus",23,5,"Invertivore",25,"Invertivore"
"8883","Onychorhynchus mexicanus","Onychorhynchus mexicanus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",19,"Invertivore","Onychorhynchus",16.2,4,"Invertivore",19,"Invertivore"
"8884","Doliornis sclateri","Doliornis sclateri",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,"NT",60.2,"Frugivore","Doliornis",61.65,2,"Frugivore",60.2,"Frugivore"
"8885","Arremon semitorquatus","Arremon semitorquatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",25,"Omnivore","Arremon",34.6318181818182,22,"Omnivore",25,"Omnivore"
"8886","Tangara cyanomelas","Tangara cyanomelas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",21,"Frugivore","Tangara",22.1030769230769,65,"Frugivore",21,"Frugivore"
"8887","Leistes militaris","Leistes militaris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",48,"Invertivore","Leistes",62.46,5,"Omnivore",48,"Invertivore"
"8888","Thamnomanes saturninus","Thamnomanes saturninus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",20.4,"Invertivore","Thamnomanes",17.75,4,"Invertivore",20.4,"Invertivore"
"8889","Prinia hypoxantha","Prinia hypoxantha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",10.5,"Invertivore","Prinia",9.25769230769231,26,"Invertivore",10.5,"Invertivore"
"8890","Tylas eduardi","Tylas eduardi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",46.8,"Invertivore","Tylas",46.8,1,"Invertivore",46.8,"Invertivore"
"8891","Upupa marginata","Upupa marginata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",66.9,"Invertivore","Upupa",66.9,2,"Invertivore",66.9,"Invertivore"
